conversation_id,customer_message,support_response,intent,turn_count
9005e22c1f6a91269cfaf51aedb6e83b,Take your pick. UberEATS now delivers from over a hundred local restaurants. [URL],"We deliver the food you want, from the restaurants you love, at Uber speed. Learn more at [URL]",service_feedback_and_general,8
2c3d95a638c69be0a891d9cf3df48870,We’re sold out of August POOL passes. Check back next month for info on the September pass. [URL] [URL],We're sorry to hear about this - please check out [URL] for additional details.,service_feedback_and_general,5
196ac5c0bcb52965c39500bcb3104853,"Download the UberEATS app, find what you're craving, and we'll deliver it fast. [URL]",We're working hard to expand our service area. Stay tuned to our website for updates: [URL],service_feedback_and_general,10
36c4a37a4bbf65c51a1fafe7ab5ccb2f,how do i get uber codes for rides for customer for a certain business?,"Hi, Bev. Thanks for reaching out, please check out the following page to submit your inquiry: [URL]",app_and_account_support,3
b38b82b7270b237b312544754ef11350,Attention all college students! Ride with Uber? Want a semester of free rides? (Duh.) Enter to win! [URL] #SemesterOfUber,We want to follow up ASAP. Can you please send us a DM (direct message) with your email address and additional details so we can connect?,service_feedback_and_general,4
91bc542cf4dbbedd0880be4689edb16c,has got me about to jump off a bridge. They keep messing up my account. #moretroublethanotsworth,Happy to follow up! Contact us via [URL] so we can connect.,app_and_account_support,3
6a46b8f208c490350bafe67f0a7e72d3,I need to make a complaint against one of Uber drivers in Egypt. Whom should I contact,"We want to follow up right away, Sam! Please send us a note at: [URL] and we'll connect ASAP!",service_feedback_and_general,7
9e5a1282a2176d88be14b804ad81fdcf,my app isnt adding up my rides and hasnt all day. is that resolved?,"Should be! If you're still unable to see these on your account tomorrow, send us a DM so we can take a closer look.",service_feedback_and_general,6
c21af53f8b3b452386fe7aef1f8e2a83,how can u charge customers for Uber's inefficiency to not reporting on time as committed thru gps.....,Let's take a look! Please send us a DM with the email linked to your account so we can follow up.,fare_and_billing_dispute,14
471a5d7f70d0567a59acc8ce8e3e63cb,support I am having a tough time finding the fuel card limit page can you help please?,"Happy to help, Jackie! Visit us here; [URL]",service_feedback_and_general,5
53f70bdc5919f3dd9e886a7388c3901c,Perfect response after no response on complaint. [URL],"Hi, Pritha. We have replied via DM with some information, please follow up with us there.",service_feedback_and_general,4
59b7897f1d2e45ffabc9e05999d57922,i don't like my last ride.... [URL],"Sorry to hear about the trouble, Khimberly. Please send a note to [URL] and we'll follow up.",service_feedback_and_general,4
b40830e1096e0c46efa4ed25f2877704,Delicious Fact: You can use your Uber gift cards on #UberEATS for 🍕🌮🍗🍩🍜 at the tap of a button.,"Happy to help, Dianna! We don't accept prepaid cards unless they are Uber gift cards. More information at [URL]",service_feedback_and_general,18
cc93c23ac1ab47f9a40da2c5a6fb6d96,yo are you for real with this? look how it looks on your app compared to what just came to my doorstep 😡😡😡😡 [URL],Oh no! Visit; [URL] so we can further assist you. Thanks!,service_feedback_and_general,3
b4db52dd058995c52df08621aa13a24c,Never had this much difficulty resolving an account issue as I’m having with need help restoring account please,"We just got back to you via DM, Viola.",app_and_account_support,4
243ecab9d2580ca88bee99a88f1a9f91,Uber is your ride to anywhere. Get the app and get around easier. [URL],Happy to help! For more info about schedule rides please visit: [URL],service_feedback_and_general,12
51b96ed5dd2b1a93903ae9180053c1ab,Uber is your ride to anywhere. Get the app and get around easier. [URL],Here to help! Please send us a note at [URL] and we'll be happy to look into this for you.,service_feedback_and_general,3
03a06be65deaf01eeff16ff01f256875,Uber is your ride to anywhere. Get the app and get around easier. [URL],That is absolutely not okay. Please send us a DM with your email address so we can look into this immediately.,service_feedback_and_general,3
5afff5739ac510087e8987c13245d3ae,can you add a PRINT view when I am reviewing my past individual trip details on the Web? It is difficult to cut each screen and print.,"We hear ya! Thanks for the feedback. We're always working to provide you with new features, so stay tuned.",service_feedback_and_general,4
2f87f20e1de7579f6d0e7fb09cf0ae61,"outstanding payment, can't use to pay with the same card twice? help!!",We're happy to take a look. Please DM us the email linked to your account and we'll follow up.,service_feedback_and_general,4
956f68852bdfac779dfda71aef27710b,The new Uber app is here! We'll ask only one question. Where to? [URL],Hi there! Please reach out to [URL] and our team will be in touch.,service_feedback_and_general,31
617c170ddc79514421eeec25fb6907f1,I am trying to ride with Uber and it is saying there is a payment issue. What do I do?,"Hey there, Candice. We'll follow up with your DM.",service_feedback_and_general,4
3f8d9f22fee1f70fe55d32135672ca53,"So over ""talking"" with via email!! They dont know how to help at all!! We as partners NEED A PHONE number to talk to a person!",We'll be sure to follow up with your DM.,service_feedback_and_general,3
ea8823962c340d4f878aae8e4ec6e339,Uber pool is the most unreliable thing I've ever experienced in my life,"Hi, Ashley! Go ahead and check your DM for further details.",service_feedback_and_general,3
ec9b834c2430e62e8ff5281d01db5cf5,how can I sign-up my account,"We're happy to help, Riya. Check out this page for instructions on signing up: [URL]",app_and_account_support,6
a2c298cbe02cbb2abde0de9952ef7376,Can I get the uber select car models full list in Los angles？,We've followed up via DM. Please check for a response.,service_feedback_and_general,4
b8580b9814bbc4acaa27593e3a390a5d,Hi. I've been applying with Uber for 1 1/2 month to be a driver. I haven't any updates yet!,Lets check on the status of your application. Please DM us the email address linked to your Uber account so we can connect.,service_feedback_and_general,11
b6dfd41875bc090bd31d0b1740eb5b1b,"Our customers want convenience – and we’re delivering, literally [URL] [URL]",Here to help! Please send us a note at [URL] and we'll be happy to look into this for you.,service_feedback_and_general,4
121d261f60d0fc13f12f283e5f53a39a,Need to drop folks off in order of pickup unless the difference is 10 min or more. Not fair for first pooler to be last drop.,We want to hear more from you! Submit your feedback to [URL] Your input is vital to us.,pickup_and_route_issue,3
969e2d266d4ec6e4f18f4542fdc97e7d,Frances Frei Joins #Uber from [URL] Welcome &amp; #UberOn! :0),"We'll be happy to review your fare, Manjari. Please DM us your email so we can follow up. [URL]",service_feedback_and_general,4
5100f0a27bad0831caec74ce35afa3c7,Today we welcome Frances Frei as our SVP of Leadership &amp; Strategy—excited to learn from her on the road ahead: [URL] [URL],Here to help! Please send us a note via [URL] so our team can connect.,service_feedback_and_general,3
b5cae015d739f9310b3f5fc2e603dd01,why have you disabled my account? Now stuck in a Brazilian city I don't know unable to attend uni meetings I've crossed the world for!,Sorry to hear that! Please DM us the email address linked to your account so we can follow up.,app_and_account_support,3
ac5b39b0836a705b46da613f1fac47a3,plus you will not let me change phone number to my mobile number and you have an old account I never opened.,"We'd be happy to help you with your account, Edward. Please send us a DM with your email address so we can further connect.",app_and_account_support,6
1eee52e275ee2cf891408c9293d80f58,I am unable to reset pwd of my login.not getting any email or support from u,We've located your support contact! A member of our team will review and follow up as quickly as possible.,app_and_account_support,8
06d9693715a552d00b98cd22516fda6b,"I had booked uber for airport drop last night. You send a regret msg in the morning, well after the pickup window 1/2","Sorry to hear that, Kiran! Rideshare transportation policies are determined by each respective airport + [URL]",pickup_and_route_issue,8
ccb0e511a8cda90563826229682651f5,I feel that should partner with . Match made in heaven.,We're working hard to expand our UberEATS restaurant coverage area - stay tuned for updates.,service_feedback_and_general,4
a8fa215a49b4015e860c178b97a5d7ba,Going somewhere? Take Uber for an easy way to get there. [URL],We're here to help! Send us a DM with your email address so we can connect.,service_feedback_and_general,7
10718750b48a26e96302056a7c8134cb,my account is locked and I need help quickly to unlock I sent an email 7 hrs ago and no reply ...,"We've located your support contact, Peter! A member of our team will review and follow up as quickly as possible.",app_and_account_support,3
836539451bbe5c4510abbc4ac400fad3,I've been trying to tell that its maps are buggy &amp; sending drivers *up a flight of stairs* and responses keep getting better. [URL],"Sorry to hear about the trouble, Renee. If you would like us to review any specific fares, please let us know.",service_feedback_and_general,15
9203ee760b076cb89d0d317260b540bb,"""Your average Uber rating is None stars"" ummmmm wtf did I do?","We apologize for the trouble! Send us a note here, [URL] and our team will be in touch.",service_feedback_and_general,2
e7a909c22b43cce085fe15901d526de9,pls help. I lost my phone in your uber. What do I do? You have absolutely no support for this,"We want to get in touch, Nikki. Can you please send us a DM so we can follow up? [URL]",lost_item_inquiry,4
da778717164bf8cffe6466e323e2154a,is there a way to find out if someone used uber last night and where they were taken. We can't find my daughter.,"Sorry to hear about the trouble, Debra. Please DM us with the Uber account email so we can look into this for you.",service_feedback_and_general,6
2cf905d1ecbda51518d6f13bf653d6f9,"Last month we started rolling out tipping, and today it's active in 100% of #UberEATS cities in U.S. &amp; Canada. Info: [URL] [URL]",Hi - here to help. Please DM us the email linked to your Uber account so we can look into this for you.,service_feedback_and_general,48
f32b627c6217ae0eb847f755dcc89be5,So the cab gets punctured and #Uber decides to charge me for the waiting time. Multiple complaints go unregistered! #Uber what's wrong?,That doesn't sound right! Please DM us the email address linked to your Uber account so we can look into this for you.,fare_and_billing_dispute,3
7ccad6c8a3a974c32e33007c4fc9b414,Anyone have any tricks for getting ahold of a human at ? My account got weirdly fraud blocked and I'm now unable to reactivate it.,"We're sorry to hear about the trouble, Dave. Could you please DM us the details of your issue so we can assist.",app_and_account_support,6
1a0e7ccc14de472d32396a16a60af4c8,When i changed the mob no my paytm account was updated with the new no. Later on i m unable to use paytm for uber. Why?,Please connect with us at [URL] and we'll be happy to follow up.,fare_and_billing_dispute,10
7d7a21b22a8cd2057e9e667e4c1728ab,It’s an #FirstFridays throwdown: Sandwiches vs. Poke! Tap into the app today to enjoy $5 sandwiches &amp; poke. May the best dish win! [URL],We'll be happy to take a closer look. Send us a note via [URL] so our team can connect.,service_feedback_and_general,3
288b284698901a33ad5f418f833671a9,thanks for leaving a blind guy stranded &amp; then sent automated email responses without resolving the issue. got a new user.,"Michael, this does not sound OK. Please reach [URL] so we can connect.",service_feedback_and_general,5
080ef979e8989222ad90f0debea444c3,is the worst thing that's been around . No good customer representatives . They let people get away with fraud and owe me over $4000,Happy to help! Please reach out to [URL] and fill out the 4 boxes at the bottom so we can get in touch.,service_feedback_and_general,4
d8381a445a70612e5fe055f587539933,we're trying to figure out how to use Uber... without much success... suggestions???,"We got your message, please check your DM's.",service_feedback_and_general,4
1f61a5c53cdd47b947cf9e1594a0a681,"i hd n acidnt enroute. car i was cmng,collided wth a bus. hd injuries nd the owner thn thrntd to reprt us to polic",We're here to help! Send us a DM with your email address and more details so we can connect.,pickup_and_route_issue,3
f5fe22b1ae317f910c55522c19f387fa,"Laughter, memories, stories - your Uber carries all of this and more. Catch the new TVC! Tweet with #ApniHiGaadi [URL]",We've received your DM and a member of our team has reached out. Please review your messages for our response.,service_feedback_and_general,3
d0fba0175192d6861427f2c447501af1,Except when A is Epping and B is Manly. Then your kooky gps sends your driver into the CHD. And you don't fix it and you never apologise.,Here to help! Send us a DM with your email address with more info so we can assist.,pickup_and_route_issue,5
682251009d446775909f0b7212de5f10,Uber is a rort. Shafting drivers and endangering passengers for a fat profit for those at the top. #slavemobile,We can definitely take a closer look! Contact us here; [URL] so we can help.,service_feedback_and_general,12
8404ab4346c06efb101421494f354cd1,Hey is there a non sexual harassment option in the app?,Here to help! Send us a note via [URL] and we'll be in touch.,driver_behavior_and_safety,13
ee455e044ff2d143dec077ad2da7c8a4,Does it cost extra if the driver hits an elk? There are lots in my area.,"Thanks for reaching out! In case anything happens during your trip regarding this, you can send us a report here: [URL]",service_feedback_and_general,7
41aac632da02dc748d33572f77cc358a,it's been since December that you froze my account for me calling an uber to help a friend get home safely... still don't know why,So sorry for the trouble! Contact us here; [URL] so we can help.,app_and_account_support,5
83692083a9f23c46c867103809a7472b,The Uber Price for 13 KM at 9AM in Chandigarh.,We'd be happy to help out if you have an issue. Please reach out at [URL] or through in-app support so we can connect.,service_feedback_and_general,4
7a3ed0f5d02af0a56e3828a254de4b2b,not able to use promo code?,"Happy to help! Send us a note here, [URL] and our team will follow up.",app_and_account_support,3
027938d8ce53c6ce34d2b09ff9913764,"Please help, I haven't been able to use my account for a few months now and really need an Uber to get to golf this week.",Happy to take a closer look. Connect with us through [URL] and we'll be in touch.,app_and_account_support,4
ae27a474b45379c5abb49cdab60e2739,I am missing my monthly Business Travel Reports again please help months: June and July,We're sorry to hear about the trouble. We've found your request and a member of our team will get back to you as soon as possible.,service_feedback_and_general,3
af8323c1caea208ed92287823df9a106,I requested a trip but the driver was rude he refused to take a trip after i was in his car and he charged me for no reason [URL],That doesn't sound right. DM us the email address connected with your account so our team can follow up with you!,driver_behavior_and_safety,9
253a9a8d577b101f5226378f08902db9,wtf does this mean [URL],Hi - here to help. Please DM us the email linked to your Uber account so we can look into this for you.,service_feedback_and_general,2
65b7e9a6537aaf6cd20c4d3b75cb6309,I have an AMEX platinum. You and uber are not honoring your credit commitment. Please make it right.,Please connect with us at [URL] and we'll be happy to look into this.,service_feedback_and_general,3
130c55ff09a00e46ccf5e5f8ca6bdf8d,"newly joined and I have the driver app, when I use the app it says contact support",Here to assist! Please DM us the email address associated with your account to look further into this.,service_feedback_and_general,4
44fc0f8f89d6bb4014e4e661c0f9ba0c,When UberEATS works in Saudi Arabia?,Here to help! Please reach out to [URL] and fill out the 4 boxes at the bottom so we can get in touch.,service_feedback_and_general,8
04e3af7ff75e1dc707a1ffc050ecc904,your website isnt helpful do i need the dallas trans. for hire decal in order to get the airport decal for DFW airport.,Please refer to [URL] for information on the DFW airport permit.,service_feedback_and_general,3
d90c48e9bc5bbd87fbe404af89e50175,I had a delightful ride yesterday unfortunately it appears the driver slammed the stroller w his trunk and the stroller broke :(,"Hey there, Lauren. We need to connect. Please send a quick note to [URL] so we can follow up with you.",service_feedback_and_general,7
d0df1c5054e4cba73d85616a32275b00,"An driver just refused to drive me and home because he ""didn't want to be responsible for and assist two blind people.""",That is absolutely not okay. Please send us a DM with the account email and the details of what happened so we can follow up.,driver_behavior_and_safety,3
6ff30c26ce3ca13d47cbacc3d8b7641b,please stop sending me details of where all Surya of #Hyderabad is travelling. #notinterested,Thanks for reaching out. We'll get this sorted out! Please send us a note through [URL] so we can help.This will allow the appropriate team to receive your report and reply to it as soon as possible.,service_feedback_and_general,16
e5238e785bb5bd8003f5eab13f85001f,. Are there any special car purchasing (not leasing) deals with car dealerships in Canada? Thanks.,Thanks for reaching out! Uber is no longer offering vehicle discounts with auto manufacturers or dealerships.,service_feedback_and_general,3
a161f319a1bc3664a9a1b221384154e6,We need your help as uber stopped my account for 1 years and nt providing the valid reason mails sent but no update rcvd from them,"Hey, Kapil. A member of our team has been in touch through DM. Please follow up there to view our response.",app_and_account_support,5
045a0c496f9f138a9d222d1e4613360d,"Booked on 22/9, driver didn't stop trip at destination. Rated 1, still no action from Uber on refund. No place to report these","Hey, Manish. Send us a message via [URL] and a member of our team will follow up as soon as possible.",fare_and_billing_dispute,7
7887cdebdda22a2872880ee68e9e59e2,please check and help in resolve my issue as am not able to use my uber account from last 15 days getting error in login.,"Happy to check the status of your support inquiry, Vijay. Please DM us your account email and we'll follow up. Thanks!",app_and_account_support,12
fd4116235ad4fab26556d1df5e898845,as a driver and rider I saw the potential for this type of abuse over a year ago; care to comment on this discrepancy? [URL],"We can always review a trip for you, Damon. Please send a quick note to [URL] so we can follow up with you.",service_feedback_and_general,4
64017f0133f66d7c1afd80a3f2e2401a,give me your contact number for a complaint,Hi Hitesh - go ahead and check your DM for further details!,service_feedback_and_general,3
6a55d21995e43f8e79d5766989cffed0,"1. I'm unable to get OTP on my UK number, hence unable to use the app",It appears a member of our team has reached out to you via in-app support and email. Please be sure to follow up there with any questions.,service_feedback_and_general,6
66f58eee4b1b098af0662607ecd9a957,2 consecutive s rides charged more than upfront fare today. I feel cheated now riding with Uber,"We're sorry to hear about that, Arjun. If you could please DM us with the email address linked to your Uber account, we can connect.",fare_and_billing_dispute,14
c5e6eead914ce50810bebeb67a1ac404,Great breakfast with our Uber Employee Resource Groups - inclusivity and diversity are hugely important. We will make #progress. [URL],"We're very sorry to hear about the mix-up, Catherine! We definitely want to investigate this for you. We'll be in touch via DM soon to help.",service_feedback_and_general,7
4d1ae4500f51e22928cd4bcc80d7ebce,driver refuses 2 budge 2 reach pickup pt. Walkd over km 2 get cab 2 reach office in [URL] full of Mosquitos.,We're sorry to hear this. Sign in and visit us at [URL] reach us directly about this issue.,pickup_and_route_issue,3
0664800d5fc1a922dc97fac764687e8b,wondering why I was charged today for a ride on March 15th? Was this a real ride? Have you been hacked?,"Happy to take a look, Mark. Send us the email address/phone number associated with your account and we'll follow up.",fare_and_billing_dispute,4
dbc0a06457b6347be2c3ae4b01abd079,so many more months should I wait for the refund? I traveled when I was at Bangkok. [URL],"Hello, Aashish, a member reached out several days ago in regards to your inquiry. To streamline communication, please follow up in-app.",fare_and_billing_dispute,8
f9ce166af198e4d8f81aec3f04311a63,Week 2 and I got to meet some of the awesome #drivers who make what it is. Lots of honest feedback and even more opportunity! [URL],"Hi there! Operations have resumed in some parts of Corpus Christi. If you have a specific inquiry, DM us the details; we'd be happy to help.",service_feedback_and_general,4
a1b538ca2e9c1a5afef646b596178b5d,The ride was booked on 9850811275,We want to follow up! Please sign in and send us the trip details at [URL] so we can look into this ASAP.,service_feedback_and_general,4
4bde807e3fe83bc9634224c5c5f7500c,#UberPune the driver have cancelled the trip. Apprently you don't want Customers? Pathetic Services by in #India [URL],Sorry to hear about that! Can you please contact us via [URL] so our team can connect.,cancellation_fee_issue,3
e66e2a61d8e9f745ee769f9b1faaa867,. LAX confusing.Waited arrivals ground floor for driver. Couldn't find him. Finally on my iPad learned I should go to departures. DM me,We're here to help! Send us a DM with your email address so we can assist.,service_feedback_and_general,9
debb9ad715eae6d7b326b8ab256a8bb1,"Anyone on here had problems adding a payment card to , Select UK put in postcode and it won't continue as invalid Zip Code ?",Sorry to hear about the trouble! Please reach out to our team at [URL] and we'll be in touch to get a closer look.,app_and_account_support,10
